 -0.2100016     -0.4500016     -0.9100016      -1.470002      -2.210001    
  -2.920002      -3.280001      -3.420002      -3.600002      -3.430001    
  -2.240001     -0.2600016       1.339998       1.779998       1.119998    
 -0.5400016      -3.240001      -6.010002      -6.910001      -5.180001    
  -2.650002      -1.870002      -3.140002      -4.350001      -3.790001    
  -2.000001     -0.5600016     -0.2100016     -0.5300016     -0.9400015    
  -1.200002      -1.400002      -1.610002      -1.770002      -1.670002    
  -1.040002     -0.1000016     -0.9400015     -0.7800016     -0.7100016    
 -0.7800016      -1.150002      -1.750002      -2.410002      -3.180001    
  -3.990001      -4.210001      -3.220001      -1.330002      0.3699984    
   1.199998       1.089998     -8.0001570E-02  -2.510001      -5.350001    
  -6.630002      -5.280002      -2.740001      -1.590002      -2.700001    
  -4.470002      -4.960001      -3.830002      -2.090002     -0.7500015    
 -0.1500016     -0.1500016     -0.5000015     -0.9400015      -1.230002    
  -1.250002     -0.9500015     -0.3200016      0.3899984      -1.480002    
  -1.140002     -0.8800015     -0.7900016      -1.030002      -1.540002    
  -2.200001      -2.930001      -3.580002      -3.750001      -3.040001    
  -1.720002     -0.4600016      0.3599984      0.7399984      0.4099984    
  -1.140002      -3.590002      -5.490002      -5.440001      -3.740001    
  -2.150002      -2.040002      -3.210001      -4.400002      -4.520001    
  -3.410002      -1.660002     -0.1600016      0.4599984      0.2099984    
 -0.3500016     -0.6500016     -0.5000015     -0.1500016      0.1799984    
  0.4099984      -1.390002      -1.190001      -1.080002      -1.070002    
  -1.220002      -1.580002      -2.010001      -2.370002      -2.560002    
  -2.450001      -1.950001      -1.200002     -0.4900016     -1.5739352E-06
  0.3099984      0.2799984     -0.5100015      -2.270001      -4.340002    
  -5.480001      -4.940001      -3.220001      -1.790002      -1.820001    
  -3.140002      -4.430001      -4.390001      -2.850002     -0.8300015    
  0.4399984      0.6399984      0.3099984      0.1599984      0.3599984    
  0.5699984      0.4899984      0.2599984      -1.190001     -0.9900016    
 -0.8500016     -0.6400015     -0.4900016     -0.6300015      -1.040002    
  -1.430001      -1.600002      -1.510002      -1.200002     -0.6600016    
